time,theta,tvc,combined
2.419999999999999929e+00,5.680547776718997827e-02,-3.028231106942216172e-02,8.708778883661213999e-02
2.430000000000000160e+00,5.926291321139278562e-02,-3.514575470134039675e-02,9.440866791273318237e-02
2.439999999999999947e+00,6.183691861073271900e-02,-3.951220331444767198e-02,1.013491219251803910e-01
2.450000000000000178e+00,6.451360899091809764e-02,-4.322387445473309386e-02,1.077374834456511915e-01
2.459999999999999964e+00,6.735483773188481738e-02,-4.625316205923859364e-02,1.136079997911234041e-01
2.470000000000000195e+00,7.033478127210843200e-02,-4.878740624757105931e-02,1.191221875196794844e-01
2.479999999999999982e+00,7.339934447453090594e-02,-5.117499506980778545e-02,1.245743395443386914e-01
2.490000000000000213e+00,7.652888783751830848e-02,-5.350644086817179373e-02,1.300353287056900953e-01
2.500000000000000000e+00,7.968355478188252072e-02,-5.572465543565940926e-02,1.354082102175419300e-01
2.510000000000000231e+00,8.288206593071198447e-02,-5.775467249251642343e-02,1.406367384232284079e-01
2.520000000000000018e+00,8.609588036441234715e-02,-5.956417857434985474e-02,1.456600589387622158e-01
2.530000000000000249e+00,8.933138480370847456e-02,-6.120943170366484332e-02,1.505408165073733318e-01
2.540000000000000036e+00,9.255462214617388161e-02,-6.270942688984459945e-02,1.552640490360184811e-01
2.550000000000000266e+00,9.579782184380657151e-02,-6.410432831381850105e-02,1.599021501576250726e-01
2.560000000000000053e+00,9.910757460085761750e-02,-6.536715733582290633e-02,1.644747319366805238e-01
2.569999999999999840e+00,1.024425807856853277e-01,-6.664065231930105249e-02,1.690832331049863801e-01
2.580000000000000071e+00,1.057700072639818495e-01,-6.805889525481974289e-02,1.738289025188015924e-01
2.589999999999999858e+00,1.090360525000620973e-01,-6.952463457841898120e-02,1.785606870784810785e-01
2.600000000000000089e+00,1.121731715582193478e-01,-7.089359289416967413e-02,1.830667644523890081e-01
2.609999999999999876e+00,1.151990142835235403e-01,-7.196406519226256071e-02,1.871630794757860872e-01
2.620000000000000107e+00,1.181072450996657752e-01,-7.258260483756850956e-02,1.906898499372342848e-01
